"Verb","GoingP1","WillP1","GoingP2","WillP2","GoingP3","WillP3"
"punish",1,11,0,6,0,4
"purchase",0,35,1,15,0,6
"purge",0,1,0,2,0,0
"purify",0,2,0,1,0,0
"purloin",0,0,0,1,0,0
"purr",0,0,0,0,1,0
"pursue",1,21,0,10,1,2
"push",0,3,0,4,0,1
"put",8,120,7,112,12,92
"puzzle",0,5,0,3,0,2
"quail",0,0,0,2,0,0
"qualify",0,3,0,1,0,3
"quarrel",0,7,2,7,1,15
"queen",0,0,0,1,0,0
"quell",0,0,0,1,0,0
"quench",0,0,0,1,0,0
"question",1,1,0,4,2,6
"quibble",0,0,0,0,0,1
"quicken",0,2,0,0,0,1
"quiet",0,1,0,1,0,2
"quit",0,23,1,24,0,4
"quote",0,2,0,7,1,21
"raccommode",0,1,0,0,0,0
"race",0,0,0,0,0,1
"rack",0,0,1,0,1,0
"radiate",0,0,0,0,0,1
"rage",0,0,0,1,0,0
"rail",0,1,0,1,0,0
"rain",0,3,0,3,3,5
"raise",3,35,1,24,2,19
"rake",0,0,0,0,0,1
"rally",0,2,0,7,0,1
"range",0,3,0,2,0,0
"rank",0,2,0,0,0,1
"rant",0,0,0,1,0,0
"rap",0,0,0,0,0,1
"rase",0,2,0,0,0,0
"rate",0,0,0,0,0,1
"ratify",0,2,0,1,0,2
"rattle",0,0,0,2,1,0
"rave",0,1,0,0,0,1
"ravish",1,0,0,0,0,0
"re-absorb",0,0,0,1,0,0
"re-advise",1,0,0,0,0,0
"re-appear",0,0,0,3,0,0
"re-embark",0,0,0,1,0,0
"re-enter",0,1,0,1,0,0
"re-establish",0,2,0,1,0,0
"re-read",0,0,0,0,1,0
"re-state",0,0,0,0,0,1
"re-tickle",0,0,0,0,0,1
"re-unite",0,1,0,0,0,0
"reach",0,17,0,21,2,23
"react",0,0,0,0,1,1
"read",3,43,1,36,4,51
"realise",0,0,0,1,0,5
"realize",0,0,1,1,0,6
"reanimate",0,0,0,1,0,0
"reap",0,3,0,4,0,2
"reappear",0,0,0,1,0,2
"rear",0,1,0,0,0,0
"reason",0,3,0,5,0,1
"reassume",0,1,0,0,0,0
"rebel",0,0,1,0,0,4
"rebound",0,0,0,1,0,0
"rebuild",0,0,0,1,0,0
"rebuke",1,0,0,0,0,0
"recall",0,2,0,4,0,7
"recant",0,0,0,2,0,0
"recapitulate",0,0,0,1,0,1
"recast",0,0,0,0,0,1
"recede",0,4,0,3,0,0
"receive",2,100,0,67,2,55
"recite",0,3,0,0,0,0
"reckon",0,0,0,3,0,2
"reclaim",0,4,0,0,0,1
"recline",0,0,0,0,0,1
"recognise",0,1,0,5,0,9
"recognize",0,1,0,5,0,5
"recoil",0,2,0,2,0,0
"recollect",0,14,0,40,0,7
"recommence",0,0,0,0,0,1
"recommend",0,16,0,5,0,2
"recompence",0,1,0,0,0,0
"recompense",0,3,0,4,0,0
"reconcile",0,13,0,4,0,1
"reconnoitre",0,1,0,0,0,1
"reconsider",0,1,0,0,0,1
"record",0,0,0,2,0,3
"recount",1,3,1,1,0,1
"recover",0,14,0,26,0,7
"recreate",0,0,0,0,0,1
"recriminate",0,1,0,0,0,0
"recruit",0,0,0,1,0,0
"recur",0,3,0,5,0,10
"redeem",0,3,0,2,0,0
"redouble",0,1,0,0,0,0
"redound",0,1,0,0,0,0
"redress",0,1,0,0,0,1
"reduce",1,9,0,11,0,6
"refer",0,3,0,8,0,7
"refine",0,0,0,1,0,0
"reflect",0,13,0,8,0,6
"reform",0,4,2,2,0,1
"refrain",0,2,0,2,0,4
"refresh",1,1,0,2,0,2
"refund",0,2,0,0,0,0
"refuse",1,49,1,24,3,24
"refute",1,0,0,1,0,3
"regain",0,1,0,4,0,2
"regale",0,1,0,0,0,0
"regard",0,8,0,6,0,15
"regenerate",0,0,0,0,0,2
"register",0,0,0,1,0,1
"regret",0,7,0,12,0,14
"regulate",0,4,0,2,0,1
"rehearse",0,1,0,1,0,0
"reign",0,1,0,7,0,5
"reimburse",0,3,0,0,0,0
"reinforce",0,0,0,0,1,0
"reinstate",0,0,0,0,0,1
"reject",0,3,0,5,0,2
"rejoice",0,21,0,16,0,7
"rejoin",0,1,0,1,0,1
"rekindle",0,0,0,0,0,1
"relapse",0,1,0,1,0,0
"relate",11,20,5,15,0,6
"relax",0,1,0,1,0,0
"release",2,2,0,7,0,2
"relent",0,5,0,1,0,1
"relieve",0,7,0,12,0,13
"relinquish",0,2,0,5,0,1
"relish",0,2,0,3,0,0
"rely",0,3,0,1,0,1
"remain",0,61,0,120,3,89
"remand",0,0,0,2,0,0
"remark",0,0,0,9,3,3
"remedy",0,0,0,1,0,2
"remember",0,29,1,56,0,101
"remind",0,7,0,8,2,6
"remit",0,4,0,2,0,0
"remonstrate",0,2,0,0,0,0
"remove",1,17,2,10,2,7
"remunerate",0,0,0,1,0,0
"rend",0,0,0,2,0,3
"render",0,22,0,33,0,14
"rendezvous",0,1,0,1,0,0
"renew",0,4,0,4,0,1
"renounce",0,6,0,1,1,1
"renovate",0,0,0,1,0,0
"rent",0,1,1,0,0,0
"repair",0,9,0,4,0,0
"repay",0,13,0,17,0,22
"repeat",2,20,2,16,2,12
"repel",0,0,0,1,0,1
"repent",0,10,0,13,0,5
"repine",0,0,0,6,0,0
"replace",0,7,1,2,0,3
"replenish",0,0,0,0,0,1
"reply",6,3,3,10,0,4
"report",0,2,0,3,0,3
"repose",0,1,1,1,0,0
"represent",0,5,0,3,0,5
"reprimand",0,0,1,0,0,0
"reprint",1,1,0,0,0,0
"reproach",0,3,0,4,0,3
"reproduce",0,0,0,0,2,2
"reprove",0,1,0,0,0,1
"republish",0,0,0,1,0,1
"repudiate",0,0,0,0,0,1
"request",0,2,2,1,1,1
"require",0,48,0,41,0,26
"requite",0,1,0,5,0,1
"rescue",0,3,0,6,0,1
"resemble",0,5,0,4,0,6
"resent",0,4,0,2,0,3
"reserve",0,2,0,2,0,1
"reside",2,1,4,0,0,2
"resign",1,21,0,6,0,4
"resist",0,2,1,4,0,8
"resolve",0,10,0,4,0,1
"resort",0,0,0,0,0,1
"respect",0,5,0,11,0,3
"respond",0,0,0,0,0,2
"rest",1,11,1,23,6,18
"restate",0,0,0,0,0,1
"restore",0,24,0,14,1,8
"restrain",0,5,0,1,0,1
"restrict",0,0,1,1,0,0
"result",0,2,0,11,0,16
"resume",1,10,0,21,0,6
"resuscitate",0,0,0,1,0,0
"retain",0,8,0,6,0,5
"retard",0,1,0,3,0,2
"retire",1,14,0,11,2,3
"retort",0,0,1,0,0,0
"retract",0,2,0,1,0,0
"retreat",0,0,1,0,0,2
"retrieve",0,1,0,2,0,0
"return",3,79,2,95,1,55
"reveal",0,7,1,5,0,10
"revel",0,2,0,0,0,0
"revenge",0,5,0,1,0,1
"reverberate",0,0,0,0,0,1
"revere",0,0,0,1,0,1
"reverence",0,0,0,1,0,1
"reverse",0,0,0,2,0,2
"revert",0,2,0,1,0,0
"review",0,1,0,0,1,0
"revile",0,0,0,0,0,1
"revisit",0,0,0,0,0,1
"revive",0,9,0,5,1,3
"revoke",0,2,0,0,0,0
"revolt",0,1,0,1,0,0
"revolutionize",0,0,0,0,0,1
"revolve",0,0,0,1,0,0
"reward",0,20,1,7,0,7
"rhyme",0,1,0,0,0,0
"ribbon",0,0,0,1,0,0
"rid",0,7,0,1,0,0
"ride",1,6,3,16,3,13
"ridicule",0,2,0,0,0,0
"rig",0,0,0,0,0,1
"right",0,2,0,0,0,3
"ring",2,0,1,9,1,6
"riot",0,1,0,0,0,0
"rip",0,0,0,1,0,1
"ripen",0,4,0,2,0,3
"rise",3,34,0,64,1,38
"risk",0,7,0,1,1,13
"rival",0,0,0,1,0,1
"rive",0,1,0,0,0,0
"roam",0,0,0,0,0,1
"roar",0,1,0,0,0,0
"roast",0,0,0,2,0,2
"rob",0,9,2,1,0,4
"rock",0,0,0,0,0,1
"roll",0,1,0,0,1,2
"romp",0,0,0,0,0,1
"root",0,0,0,1,0,2
"rot",0,0,0,2,1,0
"round",0,0,0,0,0,1
"rouse",0,6,1,7,0,5
"rouze",0,1,0,0,0,0
"row",0,0,0,2,0,4
"rub",0,1,0,1,0,0
"rue",0,0,0,1,0,1
"ruffle",0,0,0,0,0,2
"ruin",6,12,1,16,6,9
"rule",0,0,0,2,1,4
"run",1,43,3,31,4,44
"rush",3,0,0,1,1,2
"rust",0,0,0,0,0,2
"sacrifice",0,10,1,11,1,6
"sadden",0,0,0,1,0,0
"saddle",0,1,0,1,0,0
"sag",0,0,0,0,0,1
"sail",0,5,3,4,1,3
"salute",1,0,0,0,0,0
"salve",0,1,0,0,0,0
"sanctify",0,2,0,0,0,0
"sanction",0,1,0,3,0,0
"sap",0,0,0,0,0,1
"satiate",0,2,0,1,0,0
"satisfy",0,32,0,23,0,15
"save",0,36,0,51,1,47
"savour",0,1,0,0,0,0
"say",59,234,61,308,80,303
"scale",0,0,0,1,0,0
"scant",0,0,0,1,0,0
"scare",0,0,0,0,0,1
"scarify",0,0,0,0,0,1
"scatter",0,1,0,0,0,3
"scent",0,0,0,0,0,1
"school",1,0,0,0,0,1
"scoff",0,1,0,0,0,0
"scold",0,3,0,2,1,0
"scorch",0,1,0,1,0,1
"score",0,0,0,1,2,0
"scorn",0,2,0,3,0,1
"scotch",0,0,0,0,0,1
"scour",0,0,0,1,0,1
"scourge",0,0,0,0,0,1
"scout",0,0,0,0,0,1
"scrape",0,0,0,0,0,1
"scratch",0,0,0,2,0,2
"scream",0,0,0,2,0,0
"screen",0,2,0,0,0,1
"scribble",0,2,0,2,0,0
"scruple",0,14,0,3,0,1
"seal",1,2,1,2,0,0
"search",0,3,1,4,2,4
"season",0,1,0,0,0,0
"seat",0,0,0,1,0,0
"second",0,2,0,2,0,0
"secrete",0,0,0,0,0,1
"secure",0,26,0,21,0,5
"see",13,315,18,319,44,421
"seek",4,15,2,33,3,20
"seem",0,19,0,22,0,39
"seize",1,9,1,9,0,4
"select",0,2,0,3,0,4
"sell",0,16,3,25,2,19
"send",14,156,10,109,13,68
"sentence",0,0,0,1,0,0
"separate",1,1,0,4,1,5
"sequester",0,0,0,1,0,0
"serenade",0,0,1,0,0,0
"sermonize",1,0,0,0,0,0
"serve",2,98,2,83,0,91
"service",2,0,0,0,0,0
"set",5,90,4,53,8,47
"settle",2,15,2,20,2,16
"sever",0,0,0,1,0,0
"shade",0,0,0,0,0,3
"shake",0,2,0,9,0,11
"sham",0,0,0,1,1,0
"shame",0,0,0,3,0,0
"shape",0,2,0,2,0,4
"share",0,8,0,8,0,4
"sharpen",0,1,0,6,0,1
"shave",0,0,0,2,0,1
"sheath",0,1,0,0,0,0
"shed",0,3,0,5,0,0
"shelter",0,1,0,3,0,2
"shew",1,67,0,30,0,9
"shield",0,0,0,2,0,0
"shift",0,0,0,2,0,1
"shine",0,6,0,14,1,6
"ship",1,0,0,0,0,0
"shirk",0,0,0,0,0,1
"shiver",0,1,0,0,0,1
"shock",0,5,0,3,0,0
"shoot",2,3,4,6,2,9
"shorten",0,3,0,0,0,2
"shout",0,0,0,0,0,2
"show",0,66,5,106,5,138
"shrink",0,4,0,8,2,6
"shrivel",0,0,0,1,0,0
"shudder",0,0,0,3,0,0
"shuffle",0,0,0,2,0,0
"shun",0,8,0,2,0,0
"shut",0,8,1,9,0,6
"sicken",0,1,0,0,0,1
"side",0,3,0,0,0,2
"sidle",0,0,0,0,0,1
"sift",0,1,0,2,0,0
"sigh",0,0,0,2,0,1
"sight",0,1,0,0,0,0
"sign",0,2,0,6,0,8
"signify",0,11,0,5,0,1
"silence",0,3,0,4,0,0
"simmer",0,0,0,1,0,0
"simplify",0,0,0,0,0,1
"sin",0,0,0,0,0,1
"sing",1,8,0,7,6,13
"single",0,0,0,1,0,1
"sink",0,16,0,12,0,11
"sip",0,0,1,0,0,0
"sit",2,27,4,22,6,30
"sketch",0,0,0,2,0,2
"skim",0,0,0,0,0,1
"skin",0,0,0,0,1,0
"skip",0,0,0,0,0,1
"skreen",0,1,0,0,0,0
"slacken",0,1,0,1,0,0
"slap",0,0,0,2,0,0
"slay",0,0,0,5,1,3
"sleep",1,5,11,11,27,9
"slice",0,1,0,0,0,0
"slide",0,1,0,0,0,0
"sling",0,0,0,2,0,0
"slip",0,2,0,2,1,5
"slit",0,0,0,1,0,0
"slope",0,0,0,1,0,0
"slumber",0,0,0,1,0,0
"smart",0,0,0,2,0,0
"smash",0,0,0,0,0,1
"smell",0,0,0,1,0,0
"smile",0,10,0,17,0,7
"smite",0,0,0,1,0,3
"smoke",0,1,0,2,0,3
"smooth",0,1,0,0,0,2
"smother",0,1,0,0,0,0
"snake",0,0,0,0,0,1
"snap",0,1,0,4,1,2
"snatch",1,4,0,2,1,1
"sneer",0,0,0,0,0,1
"sniff",0,0,0,1,0,0
"snip",0,0,0,1,0,0
"snivel",0,0,0,1,0,0
"soar",0,1,0,0,0,0
"sober",0,0,0,0,0,1
"soften",0,5,0,3,0,3
"soil",0,0,0,0,0,2
"solicit",0,2,0,2,0,0
"solve",0,0,0,0,0,2
"soothe",0,3,0,1,0,2
"sorce",0,1,0,0,0,0
"sorm",0,1,0,0,0,0
"sorrow",0,1,0,0,0,0
"sound",0,3,0,3,0,8
"sour",0,1,0,0,0,1
"sow",0,2,0,2,0,0
"spare",0,28,0,16,0,11
"sparkle",0,0,0,0,0,2
"speak",28,54,16,112,9,66
"specify",0,1,0,2,0,1
"speculate",0,0,0,0,0,1
"speed",0,0,0,0,0,1
"spell",0,0,0,0,0,1
"spend",0,6,1,11,7,12
"spill",0,0,0,0,0,1
"spin",0,2,0,0,0,0
"spit",0,0,0,0,0,2
"splinter",0,1,0,1,0,0
"split",0,0,0,1,0,1
"spoil",0,12,0,7,0,11
"sponge",0,0,0,1,0,0
"sport",0,1,0,0,0,0
"spout",0,0,0,0,0,1
"spread",0,3,0,6,0,7
"spring",0,2,0,8,2,4
"sprinkle",0,2,0,1,0,0
"spurn",1,0,0,2,0,0
"sputter",0,1,0,0,0,0
"spy",0,0,0,0,0,1
"squander",0,0,0,0,0,1
"square",0,1,0,0,0,1
"squeeze",0,0,0,1,0,1
"squint",0,1,0,0,0,0
"squire",0,1,0,0,0,0
"stab",1,2,0,1,0,3
"stagger",0,1,0,0,0,0
"stain",0,2,0,2,0,1
"stake",0,1,0,3,0,0
"stammer",0,0,0,1,0,0
"stamp",0,0,0,0,0,1
"stand",0,52,4,69,11,59
"stare",0,5,0,1,1,3
"start",0,7,0,3,5,14
"startle",0,0,0,1,0,3
"starve",1,3,0,2,0,4
"state",0,1,1,18,0,11
"stay",0,58,1,47,16,57
"steady",0,0,0,1,0,0
"steal",0,7,0,4,0,1
"steam",0,0,0,0,0,1
"steel",0,0,0,1,0,0
"steep",0,0,0,1,0,0
"steer",0,1,0,0,0,1
"step",1,10,0,11,2,2
"stick",0,9,0,15,1,16
"stifle",0,2,0,3,1,1
"stimulate",0,2,0,5,0,0
"sting",0,1,0,4,0,1
"stipulate",0,0,0,1,0,0
"stir",0,18,0,9,1,6
"stock",0,2,0,1,0,0
"stone",0,0,0,0,0,1
"stoop",0,1,0,3,0,2
"stop",0,20,5,26,8,35
"stow",0,0,0,1,0,0
"straggle",0,1,0,0,0,0
"strain",0,1,0,3,0,0
"strangle",0,0,0,0,0,1
"stray",0,0,0,1,0,1
"strengthen",0,5,0,2,0,7
"stretch",0,3,1,1,0,7
"strew",0,0,0,2,0,1
"strike",1,13,5,18,3,16
"string",0,1,0,0,0,0
"strip",0,2,0,2,0,1
"strive",0,6,0,3,0,5
"stroll",0,0,0,1,0,2
"struggle",0,5,0,8,0,1
"strut",0,1,0,0,0,0
"study",0,5,0,7,0,5
"stumble",0,0,0,2,0,0
"stun",0,0,0,0,0,1
"subdue",0,4,0,2,0,0
"subject",0,10,0,1,0,0
"subjoin",0,0,0,2,0,0
"submit",0,31,1,22,0,6
"subscribe",0,5,0,7,0,0
"subside",0,4,0,1,0,1
"subsist",0,5,0,2,0,0
"subtract",0,0,0,1,0,0
"succeed",0,22,0,21,2,18
"succour",0,0,0,1,0,1
"suck",0,1,0,0,1,1
"sue",1,1,0,1,0,1
"suffer",2,131,0,70,0,25
"suffice",0,16,0,40,0,40
"suggest",0,21,2,8,2,15
"suit",0,10,0,43,1,25
"sulk",0,0,1,0,0,0
"sully",0,1,0,2,0,0
"sum",0,1,0,0,0,2
"summarise",0,0,0,0,0,1
"summon",0,2,0,1,0,5
"sup",3,2,0,4,0,0
"superinduce",0,0,0,1,0,0
"superintend",0,1,0,1,0,1
"supersede",0,0,0,4,0,1
"supper",4,0,1,0,0,0
"supplant",0,1,0,2,0,1
"supplement",0,0,0,0,0,1
"supply",1,34,1,22,0,12
"support",0,24,0,16,0,7
"suppose",0,49,0,49,0,19
"suppress",0,2,0,3,1,0
"surface",0,0,0,0,0,1
"surfeit",0,1,0,0,0,0
"surmount",0,2,0,1,0,1
"surpass",0,0,0,2,0,2
"surprise",0,14,0,9,0,10
"surprize",0,6,0,1,0,0
"surrender",0,2,0,2,0,1
"surround",0,0,0,2,0,0
"survey",0,0,0,1,0,0
"survive",0,13,0,1,0,9
"suspect",0,18,0,9,1,9
"suspend",0,8,0,1,0,1
"sustain",0,0,0,3,0,4
"swallow",0,3,0,5,0,6
"swarm",0,0,0,0,1,5
"sway",0,1,0,0,0,1
"swear",1,10,1,22,2,5
"sweep",1,1,0,5,0,3
"sweeten",0,1,0,2,0,1
"swell",0,1,0,3,0,1
"swim",0,1,0,2,0,2
"swing",0,0,0,2,0,3
"swoop",0,0,0,0,0,1
"sympathise",0,0,1,4,0,2
"sympathize",0,1,0,5,0,1
"tack",1,1,0,0,0,0
"tag",0,0,0,1,0,0
"taint",0,1,0,0,0,0
"take",23,417,27,439,52,411
"talk",1,28,1,45,10,51
"tally",0,0,0,0,0,1
"tame",0,1,0,0,0,1
"tap",1,1,0,1,0,1
"tarnish",0,1,0,2,0,0
"tarry",0,1,0,2,0,1
"task",0,2,0,0,0,0
"taste",0,5,0,6,0,3
"tax",0,0,0,3,1,3
"teach",0,20,0,45,4,27
"tear",0,10,0,11,0,3
"tease",0,0,0,2,0,2
"teaze",0,0,0,1,0,0
"telegraph",0,0,0,0,1,4
"telephone",0,0,0,0,0,1
"tell",33,315,25,303,42,322
"temporise",0,0,0,1,0,1
"tempt",0,4,0,6,0,3
"tend",0,14,0,19,0,23
"tender",0,0,0,2,0,0
"term",0,0,0,0,0,2
"terminate",0,8,0,6,0,3
"terrify",0,2,0,1,0,1
"test",0,0,0,1,0,3
"testify",0,7,0,6,0,7
"thank",0,27,0,22,0,17
"thatch",0,0,0,1,0,0
"thicken",0,5,0,0,0,1
"think",0,231,1,194,1,138
"thirst",0,1,0,0,0,0
"thrash",0,0,0,0,0,1
"threaten",0,2,0,2,0,0
"thresh",0,0,0,0,0,1
"thrive",0,4,0,2,0,3
"throng",0,0,0,0,0,1
"throw",2,35,2,22,7,14
"thrust",0,0,0,4,0,5
"thwart",0,0,0,1,0,1
"tide",0,0,0,0,0,1
"tie",0,2,3,5,0,2
"tieze",0,1,0,0,0,0
"till",0,2,0,0,0,1
"tilt",0,0,0,1,0,0
"time",0,0,0,0,0,1
"tip",0,1,0,0,0,0
"tire",0,10,0,8,0,5
"toast",1,0,0,0,0,1
"toil",0,0,0,0,0,1
"token",0,0,0,0,0,1
"tolerate",0,2,0,1,0,3
"toll",0,0,0,2,0,0
"tone",0,0,0,0,0,1
"topple",0,0,0,0,0,1
"torment",0,0,0,5,0,0
"torture",0,1,1,0,1,1
"toss",0,1,1,0,0,1
"totter",0,0,0,1,0,0
"touch",0,12,2,8,2,13
"trace",0,1,0,4,0,3
"track",0,0,0,0,0,1
"traffic",0,0,0,1,0,0
"train",0,0,0,0,3,4
"tramp",0,1,0,0,0,1
"trample",0,3,0,2,0,3
"transact",1,1,0,0,0,0
"transcend",0,0,0,0,0,1
"transcribe",3,9,0,5,0,0
"transfer",0,3,0,0,0,1
"transform",0,0,0,0,0,3
"transgress",0,1,0,0,0,0
"translate",1,0,0,2,0,2
"transmit",0,3,0,1,0,0
"transplant",0,1,0,0,0,1
"transport",0,3,1,2,0,1
"travel",1,3,1,5,2,11
"traverse",0,2,0,1,0,0
"tread",0,1,0,9,0,1
"treat",0,25,1,14,2,9
"tremble",0,6,0,4,1,2
"trespass",0,0,0,1,0,0
"trick",0,1,0,0,0,1
"trifle",0,1,0,2,0,0
"trim",0,0,0,1,1,0
"triumph",0,7,0,5,0,2
"trot",0,0,0,1,0,1
"trouble",2,33,3,18,2,15
"truckle",0,0,0,2,0,0
"trudge",0,0,0,1,0,0
"trump",0,1,0,0,0,0
"trust",0,43,0,41,1,22
"try",3,80,7,109,16,159
"tuck",0,0,0,0,0,1
"tug",0,0,0,1,0,0
"tumble",0,0,0,0,1,1
"tune",0,1,0,0,0,0
"turn",1,66,7,66,18,48
"twirl",0,0,1,0,0,0
"twist",0,1,0,0,0,0
"twitch",0,0,0,1,0,0
"unbar",0,0,0,2,0,0
"unbind",0,0,0,1,0,0
"unbolt",0,1,0,0,0,0
"unbosom",0,1,0,1,0,0
"unburden",0,0,0,1,0,1
"uncover",0,0,0,0,0,1
"undeceive",1,2,0,1,0,1
"undergo",0,3,0,4,0,2
"underlie",0,0,0,0,0,1
"undermine",0,0,0,1,0,1
"undersell",0,0,0,0,0,1
"understand",0,19,0,34,1,111
"undertake",3,43,0,16,1,23
"undo",0,7,0,3,0,2
"undress",0,2,0,0,0,0
"unfold",1,7,0,4,0,1
"unhelm",0,0,0,1,0,0
"unhinge",0,1,0,0,0,0
"unite",0,10,0,7,0,2
"unlearn",0,0,0,0,0,1
"unlock",1,0,0,2,0,0
"unmask",0,0,0,4,0,0
"unpack",0,0,0,0,1,1
"unravel",0,1,0,0,0,0
"unriddle",0,0,0,1,0,0
"unsay",0,0,0,1,0,1
"unsettle",0,0,0,0,0,1
"untie",0,0,0,0,1,0
"unveil",0,0,0,1,0,1
"unviolated",0,2,0,0,0,0
"unwind",0,1,0,0,0,0
"upbraid",0,4,0,0,0,0
"uphold",0,1,0,2,0,0
"upset",0,0,0,0,0,4
"urge",0,11,0,9,0,4
"use",4,31,2,26,4,29
"usher",0,0,0,0,0,1
"usurp",0,0,0,0,0,1
"utilize",0,0,0,0,0,1
"utter",1,1,1,3,0,6
"vacate",0,1,1,0,0,0
"valet",0,0,0,0,1,0
"value",0,2,0,3,0,2
"vanish",0,10,0,11,0,8
"vanquish",0,1,0,0,0,0
"vary",0,7,0,6,0,9
"vault",1,0,0,0,0,0
"veil",0,1,0,0,0,1
"venerate",0,1,0,0,0,0
"vent",0,0,0,0,1,1
"venture",0,105,0,66,0,17
"verify",0,0,0,0,1,2
"vest",0,1,0,0,0,0
"vex",0,6,0,1,0,3
"vibrate",0,0,0,0,0,2
"vie",0,1,0,1,0,1
"view",0,0,0,5,0,3
"vindicate",0,2,0,1,0,0
"violate",0,3,0,1,0,0
"visit",11,12,6,11,2,10
"vitiate",0,0,0,1,0,1
"vivify",0,1,0,0,0,0
"volunteer",0,0,0,2,0,0
"vote",1,4,1,4,0,6
"vouch",0,2,0,6,0,1
"vouchsafe",0,5,0,1,0,0
"vow",0,4,0,0,0,2
"wag",0,0,0,0,0,3
"wager",0,0,0,2,0,3
"wait",3,38,0,49,1,56
"waive",0,1,0,0,0,3
"wake",1,2,0,4,1,13
"waken",0,0,0,0,0,1
"walk",2,9,1,25,4,29
"wallop",0,0,0,1,0,0
"wander",1,1,0,4,0,4
"wane",0,0,0,0,0,1
"want",0,61,0,33,0,56
"war",0,0,1,0,1,0
"ware",0,0,0,1,0,0
"warm",1,1,0,0,0,2
"warn",0,0,0,2,0,2
"warp",0,0,0,1,0,0
"warrant",0,6,0,10,0,4
"wash",0,2,0,3,9,8
"waste",0,1,0,6,4,3
"watch",0,9,0,16,0,14
"water",0,3,0,1,0,1
"wauken",0,0,0,1,0,0
"wave",0,0,0,2,0,1
"waver",0,0,0,1,0,0
"waylay",0,0,0,1,0,0
"weaken",0,4,0,3,0,0
"wean",0,0,0,1,0,0
"wear",0,13,1,23,7,17
"weary",0,1,0,5,1,7
"weather",0,0,0,1,0,0
"weave",0,1,0,0,0,3
"wed",1,0,0,3,1,4
"weep",0,1,0,4,0,3
"weigh",0,8,0,4,0,6
"weize",0,0,0,1,0,0
"welcome",0,2,0,1,0,6
"wet",0,1,0,0,0,0
"wheedle",0,1,0,1,0,0
"whine",0,0,0,1,0,0
"whip",0,0,0,6,0,1
"whirl",0,0,0,2,0,0
"whisper",1,2,0,1,0,1
"whiten",0,0,0,0,0,1
"whittle",0,0,0,0,0,1
"wibrate",0,0,0,1,0,0
"wield",0,0,0,1,0,0
"win",0,0,0,10,2,12
"wind",1,1,0,2,0,0
"wink",0,1,0,1,0,0
"wipe",0,5,0,1,0,1
"wire",0,0,0,0,1,0
"wise",0,0,0,1,0,0
"wish",0,18,0,20,0,18
"with-hold",0,1,0,0,0,0
"withdraw",2,13,0,8,0,2
"wither",0,0,0,1,1,0
"withhold",0,6,0,0,0,1
"withstand",0,0,0,1,0,0
"witness",0,1,0,0,0,1
"wonder",0,73,0,17,0,11
"woo",0,0,0,3,1,0
"work",5,12,10,32,12,49
"worm",0,0,0,0,0,1
"worry",0,0,0,0,1,3
"worship",0,2,0,3,0,1
"wound",0,2,0,2,0,1
"wrangle",0,0,0,0,0,1
"wrap",0,1,0,0,0,2
"wreak",0,0,0,1,0,0
"wreck",0,0,1,0,0,2
"wrestle",0,1,1,2,1,0
"wring",0,0,0,1,0,1
"write",18,113,18,152,14,85
"wrong",0,3,0,4,0,0
"yean",0,0,0,1,0,0
"yearn",0,0,0,2,0,1
"yer",0,0,0,0,0,2
"yield",0,23,0,35,0,25
"yoke",0,1,0,0,0,0
"zatusfy",0,0,0,1,0,0
