"Verb","GoingP1","WillP1","GoingP2","WillP2","GoingP3","WillP3"
"displume",0,1,0,0,0,0
"dispose",1,3,0,4,0,4
"disprove",0,0,0,1,0,1
"dispute",0,10,0,6,0,1
"disregard",0,0,0,1,0,2
"disrobe",1,0,0,0,0,0
"dissemble",0,0,0,0,0,1
"dissipate",0,3,0,4,0,2
"dissolve",0,2,0,3,0,4
"dissuade",0,0,0,1,0,1
"distance",0,0,0,0,0,1
"distil",0,0,0,1,0,0
"distill",0,1,0,1,0,0
"distinguish",0,14,0,3,1,1
"distingush",0,1,0,0,0,0
"distrack",0,0,0,0,0,1
"distract",0,3,0,2,0,0
"distress",0,4,0,5,0,2
"distribute",0,1,1,2,0,0
"distrust",0,2,0,0,0,0
"disturb",0,12,1,17,0,6
"dive",0,0,0,0,1,2
"diverge",0,0,0,2,0,0
"divert",0,17,0,2,0,1
"divest",0,0,0,1,1,0
"divide",0,10,0,7,1,5
"divine",0,3,0,0,0,0
"divorce",0,0,0,3,1,0
"divulge",0,0,0,1,0,0
"do",12,557,24,730,137,636
"doat",0,2,0,1,0,0
"dock",0,0,0,0,0,1
"doctor",0,1,0,0,0,0
"doff",0,0,0,2,0,0
"dog",0,0,0,1,0,0
"domesticate",0,0,1,0,0,0
"domineer",0,0,0,1,0,0
"don",0,0,0,0,0,1
"doom",0,0,0,1,0,0
"double",0,6,0,1,0,4
"doubt",0,12,0,21,0,19
"drag",1,3,0,3,0,1
"drain",0,0,0,1,0,2
"draw",0,39,1,20,5,18
"drawl",0,0,0,0,0,1
"dread",0,1,0,1,0,1
"dream",1,0,0,4,1,4
"dress",0,2,0,4,1,2
"drift",0,0,0,0,0,3
"drink",0,8,2,20,1,7
"drive",0,6,1,28,4,17
"droop",0,1,0,1,0,0
"drop",1,11,0,11,2,8
"drown",0,0,0,2,1,0
"dry",0,4,0,3,0,3
"dupe",0,0,0,1,0,0
"dwarf",0,0,0,0,0,1
"dwell",0,7,0,14,0,12
"dwindle",0,0,0,1,0,0
"dye",0,1,0,0,0,0
"earn",0,2,0,2,0,3
"ease",0,3,0,1,0,3
"eat",4,22,2,16,5,25
"ebb",0,0,0,1,0,1
"echo",0,0,0,0,0,1
"edge",0,0,0,1,0,1
"edify",0,2,0,0,0,0
"edit",0,0,0,0,1,0
"educate",0,1,0,0,0,3
"efface",0,1,0,2,0,2
"effect",0,9,0,5,0,2
"effervesce",0,0,0,1,0,0
"elaborate",0,0,0,0,0,1
"elapse",0,0,0,0,0,1
"elect",0,0,0,0,0,2
"electrocute",0,0,0,0,1,0
"elevate",0,1,0,1,0,0
"elope",0,0,1,0,0,0
"elucidate",0,1,0,2,0,1
"elude",0,4,0,2,0,0
"emancipate",0,0,1,0,0,0
"embalm",0,0,0,1,0,0
"embark",0,0,0,0,3,2
"embarrass",0,4,0,0,0,0
