"Token","FreqCommerce","FreqRest","c","d","GStat","Frequency"
"underlines","1","12","170640","913449","0.757372789396088","less"
"specialised","1","12","170640","913449","0.757372789396088","less"
"studied","1","12","170640","913449","0.757372789396088","less"
"touches","1","12","170640","913449","0.757372789396088","less"
"amongst","1","12","170640","913449","0.757372789396088","less"
"expressing","1","12","170640","913449","0.757372789396088","less"
"engaged","1","12","170640","913449","0.757372789396088","less"
"reportedly","1","12","170640","913449","0.757372789396088","less"
"succeeded","1","12","170640","913449","0.757372789396088","less"
"anguish","1","12","170640","913449","0.757372789396088","less"
"stripped","1","12","170640","913449","0.757372789396088","less"
"rice","1","12","170640","913449","0.757372789396088","less"
"stealing","1","12","170640","913449","0.757372789396088","less"
"generations","1","12","170640","913449","0.757372789396088","less"
"curtain","1","12","170640","913449","0.757372789396088","less"
"£700,000","1","12","170640","913449","0.757372789396088","less"
"warfare","1","12","170640","913449","0.757372789396088","less"
"reuter","1","12","170640","913449","0.757372789396088","less"
"presenting","1","12","170640","913449","0.757372789396088","less"
"prey","1","12","170640","913449","0.757372789396088","less"
"wiltshire","1","12","170640","913449","0.757372789396088","less"
"tackling","1","12","170640","913449","0.757372789396088","less"
"creates","1","12","170640","913449","0.757372789396088","less"
"pakistani","1","12","170640","913449","0.757372789396088","less"
"vic","1","12","170640","913449","0.757372789396088","less"
"dr.","1","12","170640","913449","0.757372789396088","less"
"authority","25","142","170616","913319","0.0757327175791254","less"
"address","6","46","170635","913415","0.750679071337608","less"
"clinton","10","71","170631","913390","0.750296711452848","less"
"grabbed","4","33","170637","913428","0.747109302485999","less"
"widely","4","33","170637","913428","0.747109302485999","less"
"slowly","4","33","170637","913428","0.747109302485999","less"
"sweden","4","33","170637","913428","0.747109302485999","less"
"36","4","33","170637","913428","0.747109302485999","less"
"start","52","282","170589","913179","0.00742661062331029","less"
"changed","13","89","170628","913372","0.729600229371025","less"
"calls","13","89","170628","913372","0.729600229371025","less"
"established","7","52","170634","913409","0.719667078457539","less"
"struck","7","52","170634","913409","0.719667078457539","less"
"public","73","395","170568","913066","0.00713760119081552","less"
"full-time","3","26","170638","913435","0.709087392882207","less"
"newman","3","26","170638","913435","0.709087392882207","less"
"substitute","3","26","170638","913435","0.709087392882207","less"
"surrounding","3","26","170638","913435","0.709087392882207","less"
"thick","3","26","170638","913435","0.709087392882207","less"
"length","3","26","170638","913435","0.709087392882207","less"
"mistakes","3","26","170638","913435","0.709087392882207","less"
"admit","3","26","170638","913435","0.709087392882207","less"
"riding","3","26","170638","913435","0.709087392882207","less"
"frame","3","26","170638","913435","0.709087392882207","less"
"clive","3","26","170638","913435","0.709087392882207","less"
"actual","3","26","170638","913435","0.709087392882207","less"
"principle","3","26","170638","913435","0.709087392882207","less"
"bailey","3","26","170638","913435","0.709087392882207","less"
"geoff","3","26","170638","913435","0.709087392882207","less"
"patten","2","19","170639","913442","0.695251234516657","less"
"recalls","2","19","170639","913442","0.695251234516657","less"
"representation","2","19","170639","913442","0.695251234516657","less"
"bottle","2","19","170639","913442","0.695251234516657","less"
"newly","2","19","170639","913442","0.695251234516657","less"
"observed","2","19","170639","913442","0.695251234516657","less"
"clever","2","19","170639","913442","0.695251234516657","less"
"scare","2","19","170639","913442","0.695251234516657","less"
"glorious","2","19","170639","913442","0.695251234516657","less"
"sights","2","19","170639","913442","0.695251234516657","less"
"texas","2","19","170639","913442","0.695251234516657","less"
"st.","2","19","170639","913442","0.695251234516657","less"
"mentioned","2","19","170639","913442","0.695251234516657","less"
"occasional","2","19","170639","913442","0.695251234516657","less"
"mere","2","19","170639","913442","0.695251234516657","less"
"narrow","2","19","170639","913442","0.695251234516657","less"
"speaks","2","19","170639","913442","0.695251234516657","less"
"insist","2","19","170639","913442","0.695251234516657","less"
"des","2","19","170639","913442","0.695251234516657","less"
"bold","2","19","170639","913442","0.695251234516657","less"
"painful","2","19","170639","913442","0.695251234516657","less"
"residential","2","19","170639","913442","0.695251234516657","less"
"54","2","19","170639","913442","0.695251234516657","less"
"motorists","2","19","170639","913442","0.695251234516657","less"
"seat","5","39","170636","913422","0.691773062347437","less"
"fired","5","39","170636","913422","0.691773062347437","less"
"exciting","5","39","170636","913422","0.691773062347437","less"
"intended","5","39","170636","913422","0.691773062347437","less"
"possibly","5","39","170636","913422","0.691773062347437","less"
"host","6","36","170635","913425","0.0687705199706234","less"
"remained","6","36","170635","913425","0.0687705199706234","less"
"replaced","6","36","170635","913425","0.0687705199706234","less"
"opens","6","36","170635","913425","0.0687705199706234","less"
"originally","6","36","170635","913425","0.0687705199706234","less"
"ripon","2","13","170639","913448","0.0684796261806734","less"
