"Word","Little","Small","c","d","GStat","Association"
"crater",0,6,36444,31238,9.27759907373278,"small"
"discount",0,6,36444,31238,9.27759907373278,"small"
"escort",0,6,36444,31238,9.27759907373278,"small"
"footprint",0,6,36444,31238,9.27759907373278,"small"
"format",0,6,36444,31238,9.27759907373278,"small"
"garrison",0,6,36444,31238,9.27759907373278,"small"
"helping",0,6,36444,31238,9.27759907373278,"small"
"incision",0,6,36444,31238,9.27759907373278,"small"
"manufacturer",0,6,36444,31238,9.27759907373278,"small"
"membership",0,6,36444,31238,9.27759907373278,"small"
"pore",0,6,36444,31238,9.27759907373278,"small"
"publishing",0,6,36444,31238,9.27759907373278,"small"
"raid",0,6,36444,31238,9.27759907373278,"small"
"repair",0,6,36444,31238,9.27759907373278,"small"
"sculpture",0,6,36444,31238,9.27759907373278,"small"
"self-administered",0,6,36444,31238,9.27759907373278,"small"
"seminar",0,6,36444,31238,9.27759907373278,"small"
"spoon",0,6,36444,31238,9.27759907373278,"small"
"starter",0,6,36444,31238,9.27759907373278,"small"
"stitch",0,6,36444,31238,9.27759907373278,"small"
"tentacle",0,6,36444,31238,9.27759907373278,"small"
"territory",0,6,36444,31238,9.27759907373278,"small"
"vocabulary",0,6,36444,31238,9.27759907373278,"small"
"wage",0,6,36444,31238,9.27759907373278,"small"
"circular",6,19,36438,31225,9.25599730537462,"small"
"state",6,19,36438,31225,9.25599730537462,"small"
"body",48,72,36396,31172,9.25405182044047,"small"
"adjustment",5,17,36439,31227,8.89664470345235,"small"
"frown",5,17,36439,31227,8.89664470345235,"small"
"case",7,20,36437,31224,8.69133184995883,"small"
"loss",9,23,36435,31221,8.68583494568271,"small"
"crystal",1,9,36443,31235,8.65321540029138,"small"
"rectangle",1,9,36443,31235,8.65321540029138,"small"
"shift",1,9,36443,31235,8.65321540029138,"small"
"twig",1,9,36443,31235,8.65321540029138,"small"
"union",1,9,36443,31235,8.65321540029138,"small"
"slice",4,15,36440,31229,8.59099072424024,"small"
"world",43,65,36401,31179,8.55283389490166,"small"
"clump",3,13,36441,31231,8.37430516268584,"small"
"establishment",3,13,36441,31231,8.37430516268584,"small"
"front",2,11,36442,31233,8.32340996605583,"small"
"gallery",2,11,36442,31233,8.32340996605583,"small"
"male",2,11,36442,31233,8.32340996605583,"small"
"potato",2,11,36442,31233,8.32340996605583,"small"
"supply",2,11,36442,31233,8.32340996605583,"small"
"cave",6,18,36438,31226,8.27128312283754,"small"
"feature",6,18,36438,31226,8.27128312283754,"small"
"port",9,22,36435,31222,7.81218711629445,"small"
"bronze",7,19,36437,31225,7.75826432376066,"small"
"apparatus",0,5,36444,31239,7.73124638427268,"small"
"arab",0,5,36444,31239,7.73124638427268,"small"
"bakery",0,5,36444,31239,7.73124638427268,"small"
"boarding",0,5,36444,31239,7.73124638427268,"small"
"brewer",0,5,36444,31239,7.73124638427268,"small"
"brewery",0,5,36444,31239,7.73124638427268,"small"
"burrow",0,5,36444,31239,7.73124638427268,"small"
"coalition",0,5,36444,31239,7.73124638427268,"small"
"college",0,5,36444,31239,7.73124638427268,"small"
"commuter",0,5,36444,31239,7.73124638427268,"small"
"consumer",0,5,36444,31239,7.73124638427268,"small"
"cylinder",0,5,36444,31239,7.73124638427268,"small"
"displacement",0,5,36444,31239,7.73124638427268,"small"
"domain",0,5,36444,31239,7.73124638427268,"small"
"edition",0,5,36444,31239,7.73124638427268,"small"
"ensemble",0,5,36444,31239,7.73124638427268,"small"
"entrepreneur",0,5,36444,31239,7.73124638427268,"small"
"family-run",0,5,36444,31239,7.73124638427268,"small"
"find",0,5,36444,31239,7.73124638427268,"small"
"heading",0,5,36444,31239,7.73124638427268,"small"
"iceberg",0,5,36444,31239,7.73124638427268,"small"
"length",0,5,36444,31239,7.73124638427268,"small"
"operating",0,5,36444,31239,7.73124638427268,"small"
"operator",0,5,36444,31239,7.73124638427268,"small"
"outpost",0,5,36444,31239,7.73124638427268,"small"
"pellet",0,5,36444,31239,7.73124638427268,"small"
"perturbation",0,5,36444,31239,7.73124638427268,"small"
"photograph",0,5,36444,31239,7.73124638427268,"small"
"pout",0,5,36444,31239,7.73124638427268,"small"
"radius",0,5,36444,31239,7.73124638427268,"small"
"retinue",0,5,36444,31239,7.73124638427268,"small"
"rucksack",0,5,36444,31239,7.73124638427268,"small"
"sea",0,5,36444,31239,7.73124638427268,"small"
"temperature",0,5,36444,31239,7.73124638427268,"small"
"wader",0,5,36444,31239,7.73124638427268,"small"
"workplace",0,5,36444,31239,7.73124638427268,"small"
"year",0,5,36444,31239,7.73124638427268,"small"
"plastic",33,52,36411,31192,7.72102948908214,"small"
"coin",4,14,36440,31230,7.53184304340621,"small"
"studio",4,14,36440,31230,7.53184304340621,"small"
"figure",25,42,36419,31202,7.38197928700821,"small"
"airline",1,8,36443,31236,7.32947057601703,"small"
"cairn",1,8,36443,31236,7.32947057601703,"small"
"coal",1,8,36443,31236,7.32947057601703,"small"
"contingent",1,8,36443,31236,7.32947057601703,"small"
"copse",1,8,36443,31236,7.32947057601703,"small"
"crew",1,8,36443,31236,7.32947057601703,"small"
"patio",1,8,36443,31236,7.32947057601703,"small"
"protein",1,8,36443,31236,7.32947057601703,"small"
"slit",1,8,36443,31236,7.32947057601703,"small"
"software",1,8,36443,31236,7.32947057601703,"small"
"strain",1,8,36443,31236,7.32947057601703,"small"
"wound",1,8,36443,31236,7.32947057601703,"small"
"cloud",6,17,36438,31227,7.31441430664148,"small"
"yard",6,17,36438,31227,7.31441430664148,"small"
"explosion",3,12,36441,31232,7.25820915678492,"small"
"frame",3,12,36441,31232,7.25820915678492,"small"
"tin",22,38,36422,31206,7.14339606899637,"small"
"circulation",2,10,36442,31234,7.12587354941159,"small"
"core",2,10,36442,31234,7.12587354941159,"small"
"mine",2,10,36442,31234,7.12587354941159,"small"
"queue",2,10,36442,31234,7.12587354941159,"small"
"change",130,153,36314,31091,7.11718687868737,"small"
"ball",18,33,36426,31211,7.094127909327,"small"
"service",5,15,36439,31229,6.89234009081842,"small"
"pond",7,18,36437,31226,6.85360104648128,"small"
"insect",4,13,36440,31231,6.50454037926491,"small"
"brass",8,19,36436,31225,6.47030874339482,"small"
"example",8,19,36436,31225,6.47030874339482,"small"
"airfield",0,4,36444,31240,6.18492816783747,"small"
"airway",0,4,36444,31240,6.18492816783747,"small"
"bookseller",0,4,36444,31240,6.18492816783747,"small"
"burgh",0,4,36444,31240,6.18492816783747,"small"
"cannon",0,4,36444,31240,6.18492816783747,"small"
"cast",0,4,36444,31240,6.18492816783747,"small"
"category",0,4,36444,31240,6.18492816783747,"small"
