"Word","Girl","Boy","c","d","GStat","Association"
"stiff-legged",0,1,7553,6018,1.62626789555114,"boy"
"stodgy",0,1,7553,6018,1.62626789555114,"boy"
"strange-looking",0,1,7553,6018,1.62626789555114,"boy"
"stray",0,1,7553,6018,1.62626789555114,"boy"
"street-corner",0,1,7553,6018,1.62626789555114,"boy"
"strong-arm",0,1,7553,6018,1.62626789555114,"boy"
"sturdy",0,1,7553,6018,1.62626789555114,"boy"
"suburban",0,1,7553,6018,1.62626789555114,"boy"
"successful",0,1,7553,6018,1.62626789555114,"boy"
"sulli",0,1,7553,6018,1.62626789555114,"boy"
"surprised",0,1,7553,6018,1.62626789555114,"boy"
"surprising",0,1,7553,6018,1.62626789555114,"boy"
"suspended",0,1,7553,6018,1.62626789555114,"boy"
"sweat",0,1,7553,6018,1.62626789555114,"boy"
"swiss",0,1,7553,6018,1.62626789555114,"boy"
"sympathetic",0,1,7553,6018,1.62626789555114,"boy"
"tardy",0,1,7553,6018,1.62626789555114,"boy"
"tattooed",0,1,7553,6018,1.62626789555114,"boy"
"thankless",0,1,7553,6018,1.62626789555114,"boy"
"thin-faced",0,1,7553,6018,1.62626789555114,"boy"
"thorough",0,1,7553,6018,1.62626789555114,"boy"
"tickly",0,1,7553,6018,1.62626789555114,"boy"
"timid",0,1,7553,6018,1.62626789555114,"boy"
"timorous",0,1,7553,6018,1.62626789555114,"boy"
"tinselled",0,1,7553,6018,1.62626789555114,"boy"
"tory",0,1,7553,6018,1.62626789555114,"boy"
"tough-looking",0,1,7553,6018,1.62626789555114,"boy"
"town-bred",0,1,7553,6018,1.62626789555114,"boy"
