"Word","He","She","c","d","GStat","Association"
"invent",1,2,54216,37888,0.793909035210994,"she"
"invent",1,2,54216,37888,0.793909035210994,"she"
"invent",1,2,54216,37888,0.793909035210994,"she"
"jut",1,2,54216,37888,0.793909035210994,"she"
"leaf",1,2,54216,37888,0.793909035210994,"she"
"loll",1,2,54216,37888,0.793909035210994,"she"
"loll",1,2,54216,37888,0.793909035210994,"she"
"loll",1,2,54216,37888,0.793909035210994,"she"
"loll",1,2,54216,37888,0.793909035210994,"she"
"nibble",1,2,54216,37888,0.793909035210994,"she"
"nibble",1,2,54216,37888,0.793909035210994,"she"
"nibble",1,2,54216,37888,0.793909035210994,"she"
"nibble",1,2,54216,37888,0.793909035210994,"she"
"nibble",1,2,54216,37888,0.793909035210994,"she"
"prop",1,2,54216,37888,0.793909035210994,"she"
"prop",1,2,54216,37888,0.793909035210994,"she"
"rail",1,2,54216,37888,0.793909035210994,"she"
"rail",1,2,54216,37888,0.793909035210994,"she"
"rail",1,2,54216,37888,0.793909035210994,"she"
"recite",1,2,54216,37888,0.793909035210994,"she"
"recoil",1,2,54216,37888,0.793909035210994,"she"
"recoil",1,2,54216,37888,0.793909035210994,"she"
"reproach",1,2,54216,37888,0.793909035210994,"she"
"reproach",1,2,54216,37888,0.793909035210994,"she"
"retreat",1,2,54216,37888,0.793909035210994,"she"
"retreat",1,2,54216,37888,0.793909035210994,"she"
"sleep",1,2,54216,37888,0.793909035210994,"she"
"sleep",1,2,54216,37888,0.793909035210994,"she"
"sort",1,2,54216,37888,0.793909035210994,"she"
"speculate",1,2,54216,37888,0.793909035210994,"she"
"speculate",1,2,54216,37888,0.793909035210994,"she"
"speculate",1,2,54216,37888,0.793909035210994,"she"
"surmise",1,2,54216,37888,0.793909035210994,"she"
"surmise",1,2,54216,37888,0.793909035210994,"she"
"surmise",1,2,54216,37888,0.793909035210994,"she"
"surmise",1,2,54216,37888,0.793909035210994,"she"
"surmise",1,2,54216,37888,0.793909035210994,"she"
"surmise",1,2,54216,37888,0.793909035210994,"she"
"surmise",1,2,54216,37888,0.793909035210994,"she"
"toy",1,2,54216,37888,0.793909035210994,"she"
"tread",1,2,54216,37888,0.793909035210994,"she"
"unfasten",1,2,54216,37888,0.793909035210994,"she"
"unfasten",1,2,54216,37888,0.793909035210994,"she"
"voice",1,2,54216,37888,0.793909035210994,"she"
"voice",1,2,54216,37888,0.793909035210994,"she"
"voice",1,2,54216,37888,0.793909035210994,"she"
"voice",1,2,54216,37888,0.793909035210994,"she"
"voice",1,2,54216,37888,0.793909035210994,"she"
"voice",1,2,54216,37888,0.793909035210994,"she"
"heave",4,5,54213,37885,0.757055787354532,"she"
"object",4,5,54213,37885,0.757055787354532,"she"
"object",4,5,54213,37885,0.757055787354532,"she"
"request",4,5,54213,37885,0.757055787354532,"she"
"request",4,5,54213,37885,0.757055787354532,"she"
"enthuse",11,8,54206,37882,0.00734200397027124,"she"
"question",22,20,54195,37870,0.719875242928475,"she"
"chat",2,3,54215,37887,0.719331263383182,"she"
"chat",2,3,54215,37887,0.719331263383182,"she"
"dive",2,3,54215,37887,0.719331263383182,"she"
"emerge",2,3,54215,37887,0.719331263383182,"she"
"emerge",2,3,54215,37887,0.719331263383182,"she"
"fasten",2,3,54215,37887,0.719331263383182,"she"
"forget",2,3,54215,37887,0.719331263383182,"she"
"imagine",2,3,54215,37887,0.719331263383182,"she"
"pack",2,3,54215,37887,0.719331263383182,"she"
"perch",2,3,54215,37887,0.719331263383182,"she"
"redden",2,3,54215,37887,0.719331263383182,"she"
"scuttle",2,3,54215,37887,0.719331263383182,"she"
"scuttle",2,3,54215,37887,0.719331263383182,"she"
"scuttle",2,3,54215,37887,0.719331263383182,"she"
"scuttle",2,3,54215,37887,0.719331263383182,"she"
"scuttle",2,3,54215,37887,0.719331263383182,"she"
"wake",2,3,54215,37887,0.719331263383182,"she"
"wet",2,3,54215,37887,0.719331263383182,"she"
"wheedle",2,3,54215,37887,0.719331263383182,"she"
"climb",10,10,54207,37880,0.638656732304162,"she"
"shut",10,10,54207,37880,0.638656732304162,"she"
"absorb",1,1,54216,37889,0.0638529906286986,"she"
"absorb",1,1,54216,37889,0.0638529906286986,"she"
"absorb",1,1,54216,37889,0.0638529906286986,"she"
"act",1,1,54216,37889,0.0638529906286986,"she"
"act",1,1,54216,37889,0.0638529906286986,"she"
"affect",1,1,54216,37889,0.0638529906286986,"she"
"affect",1,1,54216,37889,0.0638529906286986,"she"
"affect",1,1,54216,37889,0.0638529906286986,"she"
"alight",1,1,54216,37889,0.0638529906286986,"she"
"alight",1,1,54216,37889,0.0638529906286986,"she"
"amplify",1,1,54216,37889,0.0638529906286986,"she"
"amplify",1,1,54216,37889,0.0638529906286986,"she"
"amplify",1,1,54216,37889,0.0638529906286986,"she"
"amplify",1,1,54216,37889,0.0638529906286986,"she"
"amplify",1,1,54216,37889,0.0638529906286986,"she"
"amplify",1,1,54216,37889,0.0638529906286986,"she"
"appraise",1,1,54216,37889,0.0638529906286986,"she"
"arrange",1,1,54216,37889,0.0638529906286986,"she"
"arrange",1,1,54216,37889,0.0638529906286986,"she"
"arrange",1,1,54216,37889,0.0638529906286986,"she"
"arrange",1,1,54216,37889,0.0638529906286986,"she"
"arrange",1,1,54216,37889,0.0638529906286986,"she"
"arrange",1,1,54216,37889,0.0638529906286986,"she"
"arrange",1,1,54216,37889,0.0638529906286986,"she"
"arrange",1,1,54216,37889,0.0638529906286986,"she"
"arrange",1,1,54216,37889,0.0638529906286986,"she"
"arrange",1,1,54216,37889,0.0638529906286986,"she"
"arrange",1,1,54216,37889,0.0638529906286986,"she"
"beseech",1,1,54216,37889,0.0638529906286986,"she"
"blot",1,1,54216,37889,0.0638529906286986,"she"
"blot",1,1,54216,37889,0.0638529906286986,"she"
"blot",1,1,54216,37889,0.0638529906286986,"she"
"blot",1,1,54216,37889,0.0638529906286986,"she"
"bound",1,1,54216,37889,0.0638529906286986,"she"
"bound",1,1,54216,37889,0.0638529906286986,"she"
"bound",1,1,54216,37889,0.0638529906286986,"she"
"bound",1,1,54216,37889,0.0638529906286986,"she"
"burrow",1,1,54216,37889,0.0638529906286986,"she"
"burrow",1,1,54216,37889,0.0638529906286986,"she"
"burrow",1,1,54216,37889,0.0638529906286986,"she"
"cap",1,1,54216,37889,0.0638529906286986,"she"
"capture",1,1,54216,37889,0.0638529906286986,"she"
"capture",1,1,54216,37889,0.0638529906286986,"she"
"capture",1,1,54216,37889,0.0638529906286986,"she"
"capture",1,1,54216,37889,0.0638529906286986,"she"
"cease",1,1,54216,37889,0.0638529906286986,"she"
"cease",1,1,54216,37889,0.0638529906286986,"she"
"chatter",1,1,54216,37889,0.0638529906286986,"she"
"chatter",1,1,54216,37889,0.0638529906286986,"she"
"chatter",1,1,54216,37889,0.0638529906286986,"she"
"chirrupe",1,1,54216,37889,0.0638529906286986,"she"
"chirrupe",1,1,54216,37889,0.0638529906286986,"she"
"chirrupe",1,1,54216,37889,0.0638529906286986,"she"
"chirrupe",1,1,54216,37889,0.0638529906286986,"she"
"clink",1,1,54216,37889,0.0638529906286986,"she"
"clink",1,1,54216,37889,0.0638529906286986,"she"
"clink",1,1,54216,37889,0.0638529906286986,"she"
"clink",1,1,54216,37889,0.0638529906286986,"she"
"clink",1,1,54216,37889,0.0638529906286986,"she"
"clink",1,1,54216,37889,0.0638529906286986,"she"
"clink",1,1,54216,37889,0.0638529906286986,"she"
"clink",1,1,54216,37889,0.0638529906286986,"she"
"clink",1,1,54216,37889,0.0638529906286986,"she"
"clink",1,1,54216,37889,0.0638529906286986,"she"
"clink",1,1,54216,37889,0.0638529906286986,"she"
"clink",1,1,54216,37889,0.0638529906286986,"she"
"clink",1,1,54216,37889,0.0638529906286986,"she"
"crack",1,1,54216,37889,0.0638529906286986,"she"
"crack",1,1,54216,37889,0.0638529906286986,"she"
"cram",1,1,54216,37889,0.0638529906286986,"she"
"cram",1,1,54216,37889,0.0638529906286986,"she"
"cram",1,1,54216,37889,0.0638529906286986,"she"
"cram",1,1,54216,37889,0.0638529906286986,"she"
"cram",1,1,54216,37889,0.0638529906286986,"she"
"cram",1,1,54216,37889,0.0638529906286986,"she"
"curve",1,1,54216,37889,0.0638529906286986,"she"
"dance",1,1,54216,37889,0.0638529906286986,"she"
"deal",1,1,54216,37889,0.0638529906286986,"she"
"decree",1,1,54216,37889,0.0638529906286986,"she"
"decree",1,1,54216,37889,0.0638529906286986,"she"
"decree",1,1,54216,37889,0.0638529906286986,"she"
"decree",1,1,54216,37889,0.0638529906286986,"she"
"decree",1,1,54216,37889,0.0638529906286986,"she"
"decree",1,1,54216,37889,0.0638529906286986,"she"
"denounce",1,1,54216,37889,0.0638529906286986,"she"
"depict",1,1,54216,37889,0.0638529906286986,"she"
"depict",1,1,54216,37889,0.0638529906286986,"she"
"depict",1,1,54216,37889,0.0638529906286986,"she"
"depict",1,1,54216,37889,0.0638529906286986,"she"
"depict",1,1,54216,37889,0.0638529906286986,"she"
"depict",1,1,54216,37889,0.0638529906286986,"she"
"depict",1,1,54216,37889,0.0638529906286986,"she"
"depict",1,1,54216,37889,0.0638529906286986,"she"
"depict",1,1,54216,37889,0.0638529906286986,"she"
"depict",1,1,54216,37889,0.0638529906286986,"she"
"depict",1,1,54216,37889,0.0638529906286986,"she"
"depict",1,1,54216,37889,0.0638529906286986,"she"
"depict",1,1,54216,37889,0.0638529906286986,"she"
"depict",1,1,54216,37889,0.0638529906286986,"she"
"depict",1,1,54216,37889,0.0638529906286986,"she"
"doubt",1,1,54216,37889,0.0638529906286986,"she"
"doubt",1,1,54216,37889,0.0638529906286986,"she"
"drape",1,1,54216,37889,0.0638529906286986,"she"
"dredge",1,1,54216,37889,0.0638529906286986,"she"
"dredge",1,1,54216,37889,0.0638529906286986,"she"
"dredge",1,1,54216,37889,0.0638529906286986,"she"
"dredge",1,1,54216,37889,0.0638529906286986,"she"
"dredge",1,1,54216,37889,0.0638529906286986,"she"
"dredge",1,1,54216,37889,0.0638529906286986,"she"
"dredge",1,1,54216,37889,0.0638529906286986,"she"
"dredge",1,1,54216,37889,0.0638529906286986,"she"
"dredge",1,1,54216,37889,0.0638529906286986,"she"
"dredge",1,1,54216,37889,0.0638529906286986,"she"
"dredge",1,1,54216,37889,0.0638529906286986,"she"
"escort",1,1,54216,37889,0.0638529906286986,"she"
"escort",1,1,54216,37889,0.0638529906286986,"she"
"escort",1,1,54216,37889,0.0638529906286986,"she"
"escort",1,1,54216,37889,0.0638529906286986,"she"
"escort",1,1,54216,37889,0.0638529906286986,"she"
"escort",1,1,54216,37889,0.0638529906286986,"she"
"escort",1,1,54216,37889,0.0638529906286986,"she"
"escort",1,1,54216,37889,0.0638529906286986,"she"
"escort",1,1,54216,37889,0.0638529906286986,"she"
"escort",1,1,54216,37889,0.0638529906286986,"she"
"escort",1,1,54216,37889,0.0638529906286986,"she"
